[['64-16-16-1-128-1-0'], [[['directconv'], ['2805.0']], [['conv'], ['3594.0']]]]
[['64-16-16-1-64-1-0'], [[['directconv'], ['1617.0']], [['conv'], ['2845.0']]]]
[['64-20-20-1-128-1-0'], [[['conv'], ['4686.0']], [['directconv'], ['4727.0']]]]
[['64-20-20-1-64-1-0'], [[['directconv'], ['2702.0']], [['conv'], ['3588.0']]]]
[['64-24-24-1-128-1-0'], [[['conv'], ['5372.0']], [['directconv'], ['5972.0']]]]
[['64-24-24-1-64-1-0'], [[['directconv'], ['3531.0']], [['conv'], ['4219.0']]]]
[['64-250-250-3-128-1-1'], [[['conv'], ['586968.0']], [['directconv'], ['1206614.0']]]]
[['64-28-28-1-128-1-0'], [[['conv'], ['6917.0']], [['directconv'], ['7960.999999999999']]]]
[['64-28-28-1-64-1-0'], [[['directconv'], ['4363.0']], [['conv'], ['4943.0']]]]
[['64-32-32-1-128-1-0'], [[['conv'], ['7428.0']], [['directconv'], ['9391.0']]]]
[['64-32-32-1-64-1-0'], [[['directconv'], ['4817.0']], [['conv'], ['5312.0']]]]
[['64-35-35-3-96-1-1'], [[['conv'], ['27540.0']], [['directconv'], ['58464.0']]]]
[['64-40-40-1-128-1-0'], [[['conv'], ['10649.0']], [['directconv'], ['13471.0']]]]
[['64-40-40-1-64-1-0'], [[['directconv'], ['7361.0']], [['conv'], ['7407.0']]]]
[['64-48-48-1-128-1-0'], [[['conv'], ['14241.0']], [['directconv'], ['19808.0']]]]
[['64-48-48-1-64-1-0'], [[['conv'], ['9522.0']], [['directconv'], ['10377.0']]]]
[['64-56-56-1-128-1-0'], [[['conv'], ['18715.0']], [['directconv'], ['26231.0']]]]
[['64-56-56-1-64-1-0'], [[['conv'], ['13230.0']], [['directconv'], ['13548.0']]]]
[['64-73-73-1-80-1-0'], [[['conv'], ['17943.0']], [['directconv'], ['28853.0']]]]
[['64-8-8-1-128-1-0'], [[['directconv'], ['1008.9999999999999']], [['conv'], ['2471.0']]]]
[['768-1-1-1-1001-1-0'], [[['directconv'], ['8440.0']], [['conv'], ['17122.0']]]]
[['768-17-17-1-128-1-0'], [[['conv'], ['15295.0']], [['directconv'], ['37359.0']]]]
[['768-17-17-1-160-1-0'], [[['conv'], ['18843.0']], [['directconv'], ['48533.0']]]]
[['768-17-17-1-192-1-0'], [[['conv'], ['21035.0']], [['directconv'], ['56369.0']]]]
[['768-4-4-1-768-1-0'], [[['conv'], ['14951.0']], [['directconv'], ['16787.0']]]]
[['768-5-5-1-768-1-0'], [[['conv'], ['17023.0']], [['directconv'], ['23080.0']]]]
[['768-6-6-1-768-1-0'], [[['conv'], ['21036.0']], [['directconv'], ['24874.0']]]]
[['768-7-7-1-768-1-0'], [[['conv'], ['23077.0']], [['directconv'], ['30729.0']]]]
[['8-112-112-1-16-1-0'], [[['directconv'], ['2901.0']], [['conv'], ['5316.0']]]]
[['8-64-64-1-16-1-0'], [[['directconv'], ['1325.0']], [['conv'], ['3017.0']]]]
[['8-80-80-1-16-1-0'], [[['directconv'], ['1753.0']], [['conv'], ['4625.0']]]]
[['8-96-96-1-16-1-0'], [[['directconv'], ['2798.0']], [['conv'], ['4345.0']]]]
[['80-73-73-3-192-1-0'], [[['conv'], ['175127.0']], [['directconv'], ['266143.0']]]]
[['96-16-16-1-192-1-0'], [[['directconv'], ['4925.0']], [['conv'], ['5038.0']]]]
[['96-20-20-1-192-1-0'], [[['conv'], ['6665.0']], [['directconv'], ['9715.0']]]]
[['96-24-24-1-192-1-0'], [[['conv'], ['8652.0']], [['directconv'], ['11508.0']]]]
[['96-27-27-5-256-1-2'], [[['conv'], ['153481.0']], [['directconv'], ['286909.0']]]]
[['96-28-28-1-192-1-0'], [[['conv'], ['10911.0']], [['directconv'], ['16745.0']]]]
[['96-32-32-1-96-1-0'], [[['conv'], ['8365.0']], [['directconv'], ['9856.0']]]]
[['96-35-35-3-96-1-1'], [[['conv'], ['40143.0']], [['directconv'], ['86905.0']]]]
[['96-35-35-3-96-2-0'], [[['conv'], ['13493.0']], [['directconv'], ['24387.0']]]]
[['96-40-40-1-96-1-0'], [[['conv'], ['11816.0']], [['directconv'], ['15486.0']]]]
[['96-48-48-1-96-1-0'], [[['conv'], ['15795.0']], [['directconv'], ['22531.0']]]]
[['96-56-56-1-96-1-0'], [[['conv'], ['20814.0']], [['directconv'], ['29417.0']]]]
[['128-112-112-3-128-1-1'], [[['conv'], ['244099.0']], [['directconv'], ['546577.0']]]]
[['128-56-56-3-256-1-1'], [[['conv'], ['169196.0']], [['directconv'], ['264816.0']]]]
[['256-28-28-3-512-1-1'], [[['conv'], ['198412.0']], [['directconv'], ['244720.0']]]]
[['256-56-56-3-256-1-1'], [[['conv'], ['243470.0']], [['directconv'], ['382897.0']]]]
[['3-224-224-3-64-1-1'], [[['conv'], ['63898.0']], [['directconv'], ['69420.0']]]]
[['512-14-14-3-512-1-1'], [[['conv'], ['116017.0']], [['directconv'], ['171126.0']]]]
[['512-28-28-3-512-1-1'], [[['conv'], ['229025.0']], [['directconv'], ['476637.0']]]]
[['64-112-112-3-128-1-1'], [[['conv'], ['187485.0']], [['directconv'], ['480094.0']]]]
[['64-224-224-3-64-1-1'], [[['conv'], ['324093.0']], [['directconv'], ['532335.0']]]]
